ID,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,MARRIAGE_2,MARRIAGE_3,EDUCATION_2,EDUCATION_3,EDUCATION_4,SEX_2,Prob0,Prob1,Class
1,30000.0,40,24430.0,23881.0,24234.0,0,0,0,0,0,1,0.9523809523809523,0.047619047619047616,0
2,20000.0,41,16474.0,17203.0,18411.0,0,0,0,0,0,1,1.0,0.0,0
3,20000.0,36,18600.0,17947.0,18758.0,0,0,0,0,0,1,1.0,0.0,0
4,20000.0,35,2948.0,3372.0,0.0,0,0,0,0,0,1,0.9714285714285714,0.02857142857142857,0
5,170000.0,38,145196.0,110163.0,112157.0,0,0,0,0,0,1,1.0,0.0,0
6,20000.0,40,17012.0,18181.0,19331.0,0,0,0,0,0,1,0.9857142857142858,0.014285714285714285,0
7,200000.0,32,160320.0,162140.0,165431.0,0,0,0,0,0,1,1.0,0.0,0
8,370000.0,37,43531.0,59801.0,53925.0,0,0,0,0,0,1,1.0,0.0,0
9,160000.0,39,89397.0,90348.0,8274.0,0,0,0,0,0,1,1.0,0.0,0
10,30000.0,36,27274.0,25744.0,27504.0,0,0,0,0,0,1,0.7981651376146789,0.2018348623853211,0
11,240000.0,41,49001.0,47026.0,45827.0,0,0,0,0,0,1,0.9344262295081968,0.06557377049180328,0
12,270000.0,40,178592.0,170225.0,156719.0,0,0,0,0,0,1,1.0,0.0,0
13,180000.0,44,174590.0,175233.0,106288.0,0,0,0,0,0,1,0.6258064516129033,0.3741935483870968,0
14,240000.0,40,2530.0,464.0,1316.0,0,0,0,0,0,1,1.0,0.0,0
15,200000.0,43,102211.0,54762.0,55858.0,0,0,0,0,0,1,0.926829268292683,0.07317073170731707,0
16,250000.0,35,244628.0,243223.0,245031.0,0,0,0,0,0,1,1.0,0.0,0
17,50000.0,40,6563.0,7422.0,8292.0,0,0,0,0,0,1,0.8064516129032258,0.1935483870967742,0
18,30000.0,39,14923.0,10936.0,11436.0,0,0,0,0,0,1,0.9523809523809523,0.047619047619047616,0
19,300000.0,36,1378.0,1109.0,0.0,0,0,0,0,0,1,1.0,0.0,0
20,140000.0,39,3146.0,0.0,2000.0,0,0,0,0,0,1,1.0,0.0,0
21,160000.0,38,135.0,0.0,0.0,0,0,0,0,0,1,1.0,0.0,0
22,160000.0,39,2579.0,1155.0,3334.0,0,0,0,0,0,1,1.0,0.0,0
23,150000.0,40,108189.0,112968.0,117613.0,0,0,0,0,0,1,0.9463087248322147,0.053691275167785234,0
24,250000.0,41,31898.0,103675.0,91487.0,0,0,0,0,0,1,0.9344262295081968,0.06557377049180328,0
25,50000.0,31,21029.0,18765.0,19145.0,0,0,0,0,0,1,0.15217391304347827,0.8478260869565217,1
26,80000.0,39,47041.0,25439.0,26140.0,0,0,0,0,0,1,1.0,0.0,0
27,110000.0,38,96752.0,98884.0,98501.0,0,0,0,0,0,1,1.0,0.0,0
28,500000.0,37,11076.0,3834.0,-754.0,0,0,0,0,0,1,1.0,0.0,0
29,330000.0,39,163406.0,137664.0,3381.0,0,0,0,0,0,1,1.0,0.0,0
30,470000.0,35,74993.0,48344.0,45433.0,0,0,0,0,0,1,1.0,0.0,0
31,80000.0,34,103077.0,98328.0,93376.0,0,0,0,0,0,1,1.0,0.0,0
32,50000.0,42,40012.0,31089.0,14638.0,0,0,0,0,0,1,0.827027027027027,0.17297297297297298,0
33,240000.0,40,93266.0,95837.0,49459.0,0,0,0,0,0,1,1.0,0.0,0
34,80000.0,32,36215.0,37330.0,38407.0,0,0,0,0,0,1,1.0,0.0,0
35,20000.0,32,7698.0,6005.0,6411.0,0,0,0,0,0,1,0.35384615384615387,0.6461538461538462,1
36,210000.0,38,402.0,11305.0,1368.0,0,0,0,0,0,1,1.0,0.0,0
37,200000.0,33,91948.0,17042.0,10075.0,0,0,0,0,0,1,1.0,0.0,0
38,200000.0,37,77044.0,80096.0,82269.0,0,0,0,0,0,1,1.0,0.0,0
39,230000.0,43,225.0,5703.0,6560.0,0,0,0,0,0,1,0.926829268292683,0.07317073170731707,0
40,50000.0,31,36236.0,21068.0,18132.0,0,0,0,0,0,1,0.26851851851851855,0.7314814814814815,1
41,50000.0,39,0.0,0.0,0.0,0,0,0,0,0,1,0.8064516129032258,0.1935483870967742,0
42,50000.0,34,49100.0,50380.0,19144.0,0,0,0,0,0,1,0.6946107784431138,0.30538922155688625,0
43,310000.0,37,6514.0,-3484.0,-3484.0,0,0,0,0,0,1,1.0,0.0,0
44,240000.0,36,1411.0,1696.0,1437.0,0,0,0,0,0,1,1.0,0.0,0
45,100000.0,41,35173.0,35828.0,36126.0,0,0,0,0,0,1,0.920863309352518,0.07913669064748201,0
46,30000.0,34,30900.0,0.0,0.0,0,0,0,0,0,1,0.7981651376146789,0.2018348623853211,0
47,150000.0,36,0.0,530.0,530.0,0,0,0,0,0,1,1.0,0.0,0
48,150000.0,33,36466.0,31907.0,33300.0,0,0,0,0,0,1,1.0,0.0,0
49,150000.0,37,17493.0,9160.0,2939.0,0,1,0,0,0,1,1.0,0.0,0
50,140000.0,41,108669.0,110174.0,111079.0,0,0,0,0,0,1,0.920863309352518,0.07913669064748201,0
51,110000.0,32,105080.0,107420.0,107325.0,0,0,0,0,0,1,1.0,0.0,0
52,220000.0,36,1205.0,825.0,1783.0,0,0,0,0,0,1,1.0,0.0,0
53,190000.0,37,127014.0,120826.0,112211.0,0,0,0,0,0,1,1.0,0.0,0
54,360000.0,40,0.0,0.0,0.0,0,0,0,0,0,1,1.0,0.0,0
55,360000.0,35,-103.0,-103.0,-103.0,0,0,0,0,0,1,1.0,0.0,0
56,100000.0,34,13585.0,7886.0,5578.0,0,0,0,0,0,1,1.0,0.0,0
57,360000.0,40,2128.0,960.0,6658.0,0,0,0,0,0,1,1.0,0.0,0
58,30000.0,34,20619.0,21631.0,22062.0,0,0,0,0,0,1,0.7981651376146789,0.2018348623853211,0
59,360000.0,37,6469.0,465.0,4251.0,0,0,0,0,0,1,1.0,0.0,0
60,210000.0,36,133339.0,137000.0,55855.0,0,0,0,0,0,1,1.0,0.0,0
61,180000.0,34,66092.0,65236.0,65912.0,0,0,0,0,0,1,1.0,0.0,0
62,180000.0,35,7239.0,30418.0,31370.0,0,0,0,0,0,1,1.0,0.0,0
63,130000.0,38,0.0,11836.0,7216.0,0,1,0,0,0,1,1.0,0.0,0
64,80000.0,39,57076.0,58358.0,58992.0,0,0,0,0,0,1,0.9814814814814815,0.018518518518518517,0
65,30000.0,37,11431.0,12439.0,12530.0,0,0,0,0,0,1,0.7981651376146789,0.2018348623853211,0
66,160000.0,33,55371.0,56316.0,59331.0,0,0,0,0,0,1,1.0,0.0,0
67,150000.0,37,18915.0,16047.0,17633.0,0,0,0,0,0,1,1.0,0.0,0
68,50000.0,39,18856.0,19590.0,18861.0,0,0,0,0,0,1,0.8064516129032258,0.1935483870967742,0
69,300000.0,40,5688.0,2297.0,3115.0,0,0,0,0,0,1,1.0,0.0,0
70,190000.0,33,291.0,582.0,291.0,0,0,0,0,0,1,1.0,0.0,0
71,70000.0,35,40094.0,39610.0,31047.0,0,0,0,0,0,1,1.0,0.0,0
72,240000.0,40,10412.0,4578.0,5928.0,0,0,0,0,0,1,1.0,0.0,0
73,60000.0,37,0.0,0.0,0.0,0,0,0,0,0,1,0.2857142857142857,0.7142857142857143,1
74,60000.0,35,29510.0,30389.0,24914.0,0,0,0,0,0,1,0.1935483870967742,0.8064516129032258,1
75,50000.0,39,46403.0,38343.0,32214.0,0,0,0,0,0,1,0.827027027027027,0.17297297297297298,0
76,320000.0,34,241167.0,238196.0,231580.0,0,0,0,0,0,1,1.0,0.0,0
77,160000.0,37,0.0,0.0,1188.0,0,0,0,0,0,1,1.0,0.0,0
78,260000.0,38,241535.0,174423.0,46654.0,0,0,0,0,0,1,1.0,0.0,0
79,200000.0,37,59688.0,53084.0,46363.0,0,0,0,0,0,1,1.0,0.0,0
80,50000.0,32,48206.0,48659.0,47248.0,0,0,0,0,0,1,0.26851851851851855,0.7314814814814815,1
81,130000.0,37,390.0,99235.0,98080.0,0,0,0,0,0,1,1.0,0.0,0
82,230000.0,38,8681.0,8888.0,4932.0,0,0,0,0,0,1,1.0,0.0,0
83,160000.0,39,15041.0,15877.0,12311.0,0,0,0,0,0,1,1.0,0.0,0
84,30000.0,36,0.0,1310.0,816.0,0,0,0,0,0,1,0.7981651376146789,0.2018348623853211,0
85,240000.0,36,5979.0,6938.0,41858.0,0,0,0,0,0,1,1.0,0.0,0
